customID,Dist.,2P,0_3,3_10,10_16,16_3P,3P,Dunks,corner3_att
Drew EubanksPOR,6.6,0.929,0.434,0.349,0.113,0.033,0.071,46,0.133
Tacko FallCLE,3.2,1,0.667,0.333,0,0,0,2,
Derrick FavorsOKC,9.7,0.912,0.341,0.165,0.231,0.176,0.088,12,0.875
Bruno FernandoTOT,4,0.964,0.618,0.291,0.036,0.018,0.036,17,0.5
Bruno FernandoBOS,6.2,0.929,0.643,0.071,0.143,0.071,0.071,2,0
Bruno FernandoHOU,3.2,0.976,0.61,0.366,0,0,0.024,15,1
Dorian Finney-SmithDAL,17,0.371,0.233,0.098,0.025,0.016,0.629,49,0.414
Malik FittsTOT,16.7,0.474,0.211,0.158,0.053,0.053,0.526,1,0.5
Malik FittsUTA,18.1,0.556,0.111,0.222,0.111,0.111,0.444,0,0.25
Malik FittsBOS,15.4,0.4,0.3,0.1,0,0,0.6,1,0.667
Malachi FlynnTOR,18.2,0.508,0.12,0.153,0.077,0.158,0.492,0,0.122
Bryn ForbesTOT,19.5,0.453,0.043,0.137,0.109,0.163,0.547,0,0.173
Bryn ForbesSAS,18.9,0.49,0.054,0.132,0.155,0.149,0.51,0,0.179
Bryn ForbesDEN,20.2,0.407,0.029,0.144,0.053,0.181,0.593,0,0.167
Aleem FordORL,19.5,0.25,0.15,0.1,0,0,0.75,1,0.2
Trent ForrestUTA,8.8,0.826,0.316,0.439,0.058,0.013,0.174,3,0.63
Evan FournierNYK,19.6,0.359,0.081,0.122,0.079,0.077,0.641,3,0.281
De'Aaron FoxSAC,12.4,0.772,0.199,0.267,0.189,0.117,0.228,14,0.137
Melvin FrazierOKC,12.4,0.563,0.25,0.313,0,0,0.438,1,0.667
Tim FrazierTOT,17.4,0.622,0.067,0.178,0.133,0.244,0.378,0,0.235
Tim FrazierORL,17.5,0.605,0.07,0.186,0.116,0.233,0.395,0,0.235
Tim FrazierCLE,14.9,1,0,0,0.5,0.5,0,0,
Enes FreedomBOS,4.4,0.948,0.557,0.33,0.041,0.021,0.052,2,0.2
Markelle FultzORL,11.1,0.903,0.229,0.309,0.211,0.154,0.097,2,0.118
Wenyen GabrielTOT,8.5,0.745,0.473,0.245,0.018,0.009,0.255,13,0.571
Wenyen GabrielBRK,,,,,,,,0,
Wenyen GabrielLAC,11.2,0.615,0.385,0.231,0,0,0.385,0,0.2
Wenyen GabrielLAL,8.1,0.763,0.485,0.247,0.021,0.01,0.237,13,0.652
Daniel GaffordWAS,2.9,0.998,0.657,0.304,0.022,0.012,0.002,158,0
Danilo GallinariATL,18.4,0.508,0.119,0.089,0.151,0.149,0.492,19,0.116
Langston GallowayTOT,19.4,0.385,0.115,0.038,0.115,0.115,0.615,0,0.375
Langston GallowayBRK,19,0.385,0.154,0,0.154,0.077,0.615,0,0.25
Langston GallowayMIL,19.9,0.385,0.077,0.077,0.077,0.154,0.615,0,0.5
Darius GarlandCLE,15.5,0.613,0.195,0.183,0.137,0.097,0.387,0,0.126
Marcus GarrettMIA,9.3,0.81,0.476,0.143,0.095,0.095,0.19,0,0.5
Usman GarubaHOU,12.6,0.545,0.5,0.023,0.023,0,0.455,5,0.25
Luka GarzaDET,12.7,0.667,0.293,0.218,0.068,0.088,0.333,4,0.061
Rudy GayUTA,17.4,0.464,0.142,0.15,0.111,0.061,0.536,14,0.286
Paul GeorgeLAC,16.6,0.596,0.146,0.123,0.16,0.167,0.404,10,0.152
Taj GibsonNYK,9.9,0.771,0.398,0.181,0.102,0.09,0.229,18,0.658
Josh GiddeyOKC,12.7,0.682,0.196,0.336,0.097,0.054,0.318,4,0.202
Shai Gilgeous-AlexanderOKC,12.1,0.718,0.22,0.32,0.131,0.047,0.282,23,0.077
Anthony GillWAS,9.2,0.761,0.294,0.45,0.018,0,0.239,3,0.462
Freddie GillespieORL,6.5,0.955,0.273,0.545,0.136,0,0.045,2,1
Rudy GobertUTA,2.7,0.992,0.738,0.244,0.008,0.002,0.008,233,0
Brandon GoodwinCLE,13.9,0.643,0.266,0.201,0.117,0.058,0.357,0,0.145
Jordan GoodwinWAS,16.6,0.667,0.333,0,0,0.333,0.333,0,0
Aaron GordonDEN,11.5,0.688,0.381,0.169,0.084,0.054,0.312,130,0.419
Eric GordonHOU,16.2,0.466,0.238,0.2,0.021,0.007,0.534,3,0.066
