PLAYER_clean,PLAYER,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,TYPE,CAP HIT,SALARY
Ryan Hartman,252. Ryan Hartman,26,"C, RW",Right,82,34,31,65,0.79,31,239,0.14,18:10,26.38,239,421,341,1.06,9.61,16.94,13.72,881,750,54.02,1598,1311,54.93,1210,995,54.88,86.02,74,53.76,Standard (1-way),"$1,700,000","$1,100,000"
Sonny Milano,253. Sonny Milano,25,"LW, RW",Left,66,14,20,34,0.52,-9,94,0.15,15:16,12.14,94,177,141,0.72,5.59,10.53,8.39,566,446,55.93,1052,799,56.83,802,634,55.85,54.36,40.42,57.35,Standard (1-way),"$1,700,000","$1,800,000"
Noel Acciari,254. Noel Acciari,29,"C, RW",Right,20,3,5,8,0.4,2,32,0.09,11:59,4.44,32,52,45,1.11,8.01,13.02,11.27,127,122,51,228,230,49.78,167,169,49.7,12.08,13.02,48.13,Standard (1-way),"$1,666,667","$1,500,000"
Kyle Turris,255. Kyle Turris,31,"C, RW",Right,23,1,3,4,0.17,-5,21,0.05,8:37,1.53,21,43,29,0.46,6.35,13.01,8.77,88,105,45.6,175,176,49.86,128,133,49.04,6.42,8.9,41.91,Standard (1-way),"$1,650,000","$2,200,000"
Ilya Mikheyev,256. Ilya Mikheyev,26,"LW, RW",Left,53,21,11,32,0.6,16,147,0.14,15:15,16.38,147,205,179,1.22,10.91,15.21,13.28,455,369,55.22,770,622,55.32,599,477,55.67,44.37,31.98,58.11,Standard (1-way),"$1,645,000","$2,190,000"
Anders Bjork,257. Anders Bjork,24,"LW, RW",Left,58,5,3,8,0.14,-14,51,0.1,12:02,4.61,51,93,64,0.4,4.38,7.98,5.49,255,396,39.17,476,684,41.03,346,535,39.27,18.78,31.22,37.56,Standard (1-way),"$1,600,000","$1,600,000"
Rūdolfs Balcers,258. Rūdolfs Balcers,24,"LW, RW",Left,61,11,12,23,0.38,-3,98,0.11,15:02,10.02,98,160,133,0.66,6.41,10.47,8.69,443,482,47.89,813,953,46.04,602,697,46.34,37.4,45.65,45.03,Standard (1-way),"$1,550,000","$1,250,000"
Brendan Lemieux,259. Brendan Lemieux,25,"LW, RW",Left,50,8,5,13,0.26,1,65,0.12,10:44,6.96,65,132,102,0.78,7.26,14.74,11.39,300,217,58.03,543,420,56.39,408,313,56.59,24.45,20.39,54.52,Standard (1-way),"$1,550,000","$1,650,000"
Lawson Crouse,260. Lawson Crouse,24,"LW, RW",Left,65,20,14,34,0.52,-9,131,0.15,17:25,15.59,131,224,183,0.83,6.94,11.86,9.69,512,671,43.28,940,1172,44.51,709,894,44.23,50.77,65.47,43.68,Standard (1-way),"$1,533,333","$2,250,000"
Alexandre Texier,261. Alexandre Texier,21,"LW, C, RW",Left,36,11,9,20,0.56,0,59,0.19,14:36,7.98,59,109,82,0.91,6.73,12.44,9.36,235,336,41.16,429,554,43.64,326,434,42.89,22.61,34.28,39.74,Standard (1-way),"$1,525,000","$1,300,000"
Marcus Johansson,262. Marcus Johansson,30,"LW, RW",Left,69,9,20,29,0.42,-26,111,0.08,16:07,13.62,111,183,145,0.73,5.98,9.86,7.82,623,469,57.05,1160,863,57.34,888,654,57.59,58.2,47.6,55.01,Standard (1-way),"$1,500,000","$1,500,000"
Brandon Hagel,263. Brandon Hagel,22,LW,Left,77,25,19,44,0.57,-18,125,0.2,16:21,17.13,125,223,166,0.82,5.95,10.62,7.91,643,647,49.84,1195,1175,50.42,868,876,49.77,60.25,65.77,47.81,Standard (1-way),"$1,500,000","$1,000,000"
David Kämpf,264. David Kämpf,26,C,Left,82,11,15,26,0.32,12,102,0.11,15:15,12.2,102,168,136,0.57,4.88,8.05,6.52,566,663,46.05,964,1178,45,740,898,45.18,49.22,57.92,45.94,Standard (1-way),"$1,500,000","$1,400,000"
