PLAYER,PLAYER_clean,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,TYPE,CAP HIT,SALARY
229. Dennis Gilbert,Dennis Gilbert,25,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (1-way),"$762,500","$750,000"
230. Tyler Wotherspoon,Tyler Wotherspoon,29,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$762,500","$750,000"
231. Brad Hunt,Brad Hunt,33,LD/RD,Left,50,3,14,17,0.34,-3,67,0.04,15:15:00,2.31,67,127,90,0.18,5.27,9.99,7.08,427,390,52.26,742,713,51,569,527,51.92,35.68,30.88,53.61,Standard (2-way),"$762,500","$750,000"
232. Dylan Coghlan,Dylan Coghlan,24,RD,Right,59,3,10,13,0.22,-5,108,0.03,14:12:00,4.22,108,218,157,0.3,7.73,15.61,11.24,480,409,53.99,883,744,54.27,668,530,55.76,41.03,35.15,53.85,Standard (1-way),"$762,500","$775,000"
233. Jaycob Megna,Jaycob Megna,29,LD,Left,44,2,6,8,0.18,-1,40,0.05,19:07:00,1.18,40,84,51,0.08,2.85,5.99,3.64,387,444,46.57,702,933,42.94,528,664,44.3,33.54,43.76,43.39,Standard (1-way),"$762,500","$750,000"
234. Daniel Renouf,Daniel Renouf,28,LD,Left,4,0,0,0,0,-2,3,0,14:00:00,0.06,3,5,4,0.06,3.21,5.36,4.28,27,28,49.09,45,41,52.33,35,31,53.03,1.85,2.54,42.05,Standard (2-way),"$762,500","$750,000"
235. Bobby Nardella,Bobby Nardella,26,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (1-way),"$750,000","$750,000"
236. Otto Leskinen,Otto Leskinen,25,LD/RD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
237. Nick Wolff,Nick Wolff,25,LD,Left,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
238. Connor Carrick,Connor Carrick,28,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
239. Josh Jacobs,Josh Jacobs,26,RD,Right,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,Standard (2-way),"$750,000","$750,000"
